Vectorization,Classifier,Accuracy,F1-Score,Precision,Recall
Tfidf,Svm,0.5425,0.5420,0.6370,0.5425
Tfidf,Neural Network,0.6275,0.6278,0.6284,0.6275
Tfidf,Random Forest,0.6925,0.6923,0.6935,0.6925
Tfidf,Xgboost,0.6625,0.6638,0.6714,0.6625
Doc2Vec,Svm,0.6325,0.6331,0.6383,0.6325
Doc2Vec,Neural Network,0.6350,0.6337,0.6350,0.6350
Doc2Vec,Random Forest,0.6350,0.6352,0.6361,0.6350
Doc2Vec,Xgboost,0.6325,0.6313,0.6313,0.6325
Sentence Bert,Svm,0.7875,0.7877,0.7879,0.7875
Sentence Bert,Neural Network,0.7450,0.7445,0.7456,0.7450
Sentence Bert,Random Forest,0.7200,0.7195,0.7192,0.7200
Sentence Bert,Xgboost,0.7250,0.7248,0.7266,0.7250
