Vectorization,Classifier,Accuracy,F1-Score
Tfidf,Svm,0.5425,0.5420061626271817
Tfidf,Neural Network,0.6275,0.6277556223407847
Tfidf,Random Forest,0.6925,0.6922535656366655
Tfidf,Xgboost,0.6625,0.6638030440550754
Doc2Vec,Svm,0.6125,0.6131122285170735
Doc2Vec,Neural Network,0.6125,0.6133188764347166
Doc2Vec,Random Forest,0.64,0.6384530572506631
Doc2Vec,Xgboost,0.6475,0.6446758861877853
Sentence Bert,Svm,0.7875,0.787654150610744
Sentence Bert,Neural Network,0.745,0.7445282987604065
Sentence Bert,Random Forest,0.72,0.7194708501152931
Sentence Bert,Xgboost,0.725,0.7248270552552053
