Combination,Classifier,Vectorization,Accuracy,F1-Score,Precision,Recall
Svm - Tfidf,Svm,Tfidf,0.5425,0.5420061626271817,0.636953966562304,0.5425
Neural Network - Tfidf,Neural Network,Tfidf,0.6275,0.6277556223407847,0.6283534593337876,0.6275
Random Forest - Tfidf,Random Forest,Tfidf,0.6925,0.6922535656366655,0.6934678352204127,0.6925
Xgboost - Tfidf,Xgboost,Tfidf,0.6625,0.6638030440550754,0.6714175602778735,0.6625
Svm - Doc2Vec,Svm,Doc2Vec,0.6125,0.6131122285170735,0.6171067160347301,0.6125
Neural Network - Doc2Vec,Neural Network,Doc2Vec,0.6125,0.6133188764347166,0.6148214054101934,0.6125
Random Forest - Doc2Vec,Random Forest,Doc2Vec,0.64,0.6384530572506631,0.6386289841842957,0.64
Xgboost - Doc2Vec,Xgboost,Doc2Vec,0.6475,0.6446758861877853,0.6473266674323814,0.6475
Svm - Sentence Bert,Svm,Sentence Bert,0.7875,0.787654150610744,0.7879400453915016,0.7875
Neural Network - Sentence Bert,Neural Network,Sentence Bert,0.745,0.7445282987604065,0.7455569374969383,0.745
Random Forest - Sentence Bert,Random Forest,Sentence Bert,0.72,0.7194708501152931,0.7192108657967452,0.72
Xgboost - Sentence Bert,Xgboost,Sentence Bert,0.725,0.7248270552552053,0.7265941879413979,0.725
