Combination,Classifier,Vectorization,Accuracy,F1-Score
Svm - Tfidf,Svm,Tfidf,0.33125,0.2708475734791524
Neural Network - Tfidf,Neural Network,Tfidf,0.44375,0.43656417261600194
Random Forest - Tfidf,Random Forest,Tfidf,0.69375,0.698790494458653
Xgboost - Tfidf,Xgboost,Tfidf,0.66875,0.6681120743219588
Svm - Doc2Vec,Svm,Doc2Vec,0.575,0.5653790585059936
Neural Network - Doc2Vec,Neural Network,Doc2Vec,0.55625,0.5480980245091036
Random Forest - Doc2Vec,Random Forest,Doc2Vec,0.55625,0.551195779417195
Xgboost - Doc2Vec,Xgboost,Doc2Vec,0.55625,0.5561653934897915
Svm - Sentence Bert,Svm,Sentence Bert,0.7125,0.7102638884938968
Neural Network - Sentence Bert,Neural Network,Sentence Bert,0.6875,0.6827758597820639
Random Forest - Sentence Bert,Random Forest,Sentence Bert,0.65,0.6486198188784396
Xgboost - Sentence Bert,Xgboost,Sentence Bert,0.63125,0.6277944611277944
