vec_0,vec_1,vec_2,vec_3,vec_4,vec_5,vec_6,vec_7,vec_8,vec_9,vec_10,vec_11,vec_12,vec_13,vec_14,vec_15,vec_16,vec_17,vec_18,vec_19,vec_20,vec_21,vec_22,vec_23,vec_24,vec_25,vec_26,vec_27,vec_28,vec_29,vec_30,vec_31,vec_32,vec_33,vec_34,vec_35,vec_36,vec_37,vec_38,vec_39,vec_40,vec_41,vec_42,vec_43,vec_44,vec_45,vec_46,vec_47,vec_48,vec_49,vec_50,vec_51,vec_52,vec_53,vec_54,vec_55,vec_56,vec_57,vec_58,vec_59,vec_60,vec_61,vec_62,vec_63,vec_64,vec_65,vec_66,vec_67,vec_68,vec_69,vec_70,vec_71,vec_72,vec_73,vec_74,vec_75,vec_76,vec_77,vec_78,vec_79,vec_80,vec_81,vec_82,vec_83,vec_84,vec_85,vec_86,vec_87,vec_88,vec_89,vec_90,vec_91,vec_92,vec_93,vec_94,vec_95,vec_96,vec_97,vec_98,vec_99,class_name
0.2863323,0.11034006,0.6597951,0.2106723,-0.0220917,-0.21782741,-0.047688283,0.78423077,-0.34985107,0.062149942,-0.15653002,0.004899845,-0.3043595,-0.07495159,-0.10828872,0.29280925,0.051393077,-0.4201397,-0.3337943,-0.585612,0.23285092,0.11524048,0.13192423,-0.24901046,-0.19640338,0.31804416,0.13912478,-0.33642074,-0.169529,-0.1852231,0.13779084,0.04014243,-0.09832101,-0.02582436,-0.39315563,0.20076334,0.24972335,-0.36805576,-0.5142753,0.16176876,0.24182245,-0.21914822,-0.5031929,-0.054576118,0.018089304,-0.34327316,0.09595288,-0.50569487,0.171379,0.46151134,0.13155593,-0.8451211,0.04623799,0.21467765,-0.52926236,0.39859447,-0.06868357,0.066586144,-0.6590958,0.43070742,0.18493906,0.061142314,0.100483924,-0.3068195,-0.4286663,0.36221418,0.16319618,0.14358917,0.1871396,0.40191117,-0.2521825,0.028907668,0.3722279,0.0037379987,0.15935585,0.5854279,-0.19233222,0.196729,0.19862193,-0.23537025,-0.042173862,-0.035554927,0.3149236,0.18777376,-0.14543459,-0.19735752,-0.11208007,0.4571244,0.13330525,0.14934193,0.6039002,-0.072921105,0.5219639,-0.23381957,0.5800645,0.20754915,-0.25157768,-0.16586098,0.37715945,-0.14649172,sci.electronics
-1.145651,0.5026872,-0.5687058,1.1193109,-0.585327,-1.037757,-1.2096919,0.45264524,0.41443673,-0.29639125,-0.11835106,0.6615221,0.25491852,0.66815037,0.6520681,-0.65278727,-0.025926555,0.050958488,0.42815933,-0.6340824,0.9580311,0.12199272,-0.40178555,-0.45575166,0.5569298,-0.25450546,-0.26020336,0.16497447,-0.15886697,-0.57878006,0.7810648,0.12946832,-0.86800796,-0.22275844,0.7450157,0.7031197,0.5569342,-0.84778714,0.38699868,-0.39676037,0.4090621,0.3401467,-0.94073164,0.291584,0.18121769,-0.1958019,-1.0081038,-0.6578166,1.5502856,-0.38254538,0.21672244,-0.6231393,-0.41017485,-0.7400086,-1.620025,0.6345283,0.4497361,0.050787304,0.040511053,0.5698153,0.33260748,0.3429607,0.10862525,0.10521809,-0.82621306,0.29645917,-0.117285006,0.4623777,0.59000564,0.7649182,-0.35133544,0.6366689,0.8246267,-0.20916173,0.3927947,0.5999989,-0.34458968,-0.5675447,-0.268956,-1.2551941,0.6830419,-1.0744699,-0.20279726,-0.2554545,0.0388048,0.6550044,-0.7591956,-0.28268832,1.0480807,0.86003107,-0.35411912,0.06591863,0.32564646,-0.081780605,0.74320847,0.19494003,-0.8045894,-0.18257508,-0.54272115,-0.07563035,soc.religion.christian
-1.1672194,-0.28575626,-1.1689917,1.0498201,-1.3651778,-0.16871314,1.0927135,-0.6433762,-0.9065353,-0.1717763,-1.1193075,0.3047678,-0.96030545,0.16647302,0.5818466,0.7020721,-0.17878415,-1.1382701,-0.027120482,-2.3786883,1.0552199,-0.13661493,0.17929482,0.027115086,-1.2295405,0.96340466,-0.8068484,1.3179319,-1.2792014,0.22941959,1.8874795,-2.2184706,0.5866263,-1.0170791,0.76643586,0.31305537,-1.0416194,0.20039752,0.08994491,-2.0479584,0.39618096,-2.1875346,-0.3873121,0.50027716,-0.0594777,-1.4012554,-0.30233335,-0.6689014,1.4419602,0.615384,-0.3104446,-1.0227507,-0.29506359,0.84607434,-0.9691308,-0.11897334,0.08305148,-0.94067997,0.91763514,0.48691168,0.73142374,1.4871131,-0.756697,0.9006758,-1.7712129,-0.9617584,0.6183422,0.02223959,-1.1497384,-1.0258485,0.97972727,0.34177747,-0.3395895,1.2219684,0.84965676,-0.83566284,-1.8216974,-1.1544547,-1.6948423,-0.028769271,-1.596803,0.5302148,1.0612918,-0.26538736,-0.3593962,1.4129978,-0.8904935,1.439615,0.7109341,0.49387687,-1.223055,1.3265841,0.7754313,-0.14284165,-0.5497732,1.8361057,0.5720463,0.42593053,1.5600178,-0.1494054,alt.atheism
-1.3111364,1.0882629,0.08066412,-0.6629371,-0.21631451,-0.22854693,0.6310515,0.052169375,-0.6315034,0.0023455003,-0.70188695,0.04646494,0.5480465,0.57336843,-0.29311708,0.7844536,0.90903723,0.32787836,0.29332024,-0.47993654,0.28602624,-0.28549153,0.46557832,-0.55456513,-0.1559442,0.17814913,0.46135914,-0.010954456,-0.28588372,-0.65709305,-0.18227497,-0.16309948,-0.040509734,0.58864635,-0.09300294,0.20705679,-0.016054029,-0.6901842,-0.9019675,-0.57386696,-0.19222644,0.38364276,1.1972637,0.0909991,-0.16959584,-1.2241354,-0.053567022,-0.17189166,-0.059455376,0.30226502,-0.47396633,-0.77923036,0.4705685,0.47826275,-0.69971496,0.79213995,0.17491655,0.31208387,-0.76507646,0.19312339,0.6932832,0.717883,-0.07282604,-0.4083228,-0.6353388,0.3158005,0.036864858,0.6253395,0.28142518,0.46952018,0.015959442,-0.67937946,-0.44064927,-0.065932974,1.0164368,1.0924995,-0.6098992,1.1470557,0.24464285,0.048666686,-0.9226041,0.07200951,-0.24032336,0.22073492,-0.31202406,0.32742995,0.39726335,-0.469067,0.9986493,-0.7515059,-0.21872345,-0.17362563,-0.26663035,-0.28923514,1.0177606,0.032641053,-0.45740157,0.09449102,0.58691573,0.37915254,sci.crypt
-1.4983847,-0.37922072,-0.36063686,-0.0870316,-0.29598477,-0.31387419,-0.8039483,0.93709564,-1.0298265,1.0090318,-1.2095361,-0.094705,-0.18708178,0.53901374,-0.32462814,-0.07123484,-0.008557128,-0.34586215,-0.6354225,-0.27921456,0.8800123,-0.5341523,-0.7847429,0.28193483,-0.0710593,-0.49706876,-0.34608665,-0.2312108,-0.68513364,-0.61058277,5.1412582e-05,0.25229895,-0.9537343,1.1122161,-0.11016438,0.08856626,-0.5283544,-1.7271895,0.60068035,-0.8661999,0.15991849,-0.36427736,-0.9742475,-0.6197998,1.0053805,0.024802197,-0.12440546,0.7716999,-0.6001731,-0.3349334,0.52535754,-0.40946093,0.11534624,0.011969709,-0.8600352,-0.7234702,0.47489417,0.007710748,-0.2822681,-0.34171715,-0.09939789,0.13029361,1.5439736,-1.7305262,-1.2284709,0.3540827,-0.25958133,0.08724353,-0.13852267,-0.62315416,-0.1331521,0.70982367,-1.154617,-0.09675511,0.9936211,0.48254913,-0.36803037,0.085778385,-0.100437686,-0.54731405,-1.0039852,-0.5597427,-0.089396246,0.31708032,-0.35329247,-0.2288461,0.39689246,-0.2268419,-0.035649404,-0.18478334,0.6065796,-1.1012568,-0.289395,1.4394169,0.6853028,-0.60571545,0.43270016,-0.32588914,-1.2672293,0.9126094,talk.politics.guns
-0.20869604,0.22091146,-0.012921805,-0.12069269,-0.060993563,-0.34140164,0.10076316,0.31550848,-0.14936036,-0.05511311,0.015795792,-0.11370101,-0.015214657,-0.091778144,0.20197633,-0.27392322,0.16552538,-0.13761874,-0.27625293,-0.1270042,-0.018126538,-0.21828806,-0.12034074,-0.084027424,-0.097654276,0.23664258,-0.03918861,-0.12133626,-0.32146987,-0.08465255,0.41820365,0.38428128,-0.13101979,0.21471103,-0.04248666,0.09114911,0.038474943,0.24170712,0.04795082,0.09842454,-0.17004594,0.21961227,-0.07669989,-0.17027731,-0.30804664,0.21029837,-0.21069494,0.17756,0.20234685,-0.062419925,-0.05699545,-0.34931138,-0.1606727,-0.019690774,-0.31117648,-0.057978697,-0.21821475,-0.35833496,-0.0727275,0.076844044,-0.20626774,0.16287911,-0.07642441,0.038427256,-0.30859306,0.19543973,-0.05514586,0.09792929,0.086373635,0.26464745,-0.11326756,0.23246624,0.22886866,-0.09741489,0.049830377,0.20016539,-0.10123902,0.04136431,-0.10450808,0.09269083,0.022609655,0.10615319,-0.0873523,-0.09408733,0.10483838,0.16466074,-0.2289478,-0.1427714,-0.038981065,0.11282884,0.1108071,-0.16634916,-0.09107661,0.0022221615,0.6501819,0.13961487,0.12967911,-0.036263473,0.09775241,-0.109563835,rec.sport.hockey
0.027885852,0.16320656,0.2458804,0.13192691,-0.37938327,-0.28383714,-0.094879195,0.34031647,0.4203283,0.72785604,-0.6493657,-0.92531407,0.4384931,-0.017281324,1.3623037,-0.59225976,-0.26378223,0.35263985,0.27933773,-0.4266826,-0.6589227,-0.5308449,-0.64344305,1.0051595,-0.32299986,-0.124281734,0.30232698,-0.28716144,-0.019807754,0.32884586,1.2051159,0.3433591,-0.4678063,0.4250876,-0.72497827,0.28681242,-0.2957395,-0.8289739,0.5379661,-0.4280856,0.120240554,0.22537364,-0.029668255,-0.4373681,-0.8327815,-0.47884324,-0.112009555,0.09641311,1.4743934,-0.69433254,0.09029481,-0.27076584,1.1284394,-0.61319596,0.12167721,0.7900281,0.11845278,0.48957562,-0.28495917,0.028072698,-0.19962858,-0.49049467,-0.82777643,-0.32320526,-0.032087944,0.9977255,-0.10625813,-0.0015498777,-0.03943199,0.3546791,0.053244162,0.54717374,-0.6078765,-0.15441795,0.6829836,0.6342678,-0.3539685,0.024663592,-0.3827902,0.07197402,-0.7062149,0.41260237,0.7786383,0.64860034,-0.114107676,-0.19891588,0.387974,0.25791174,0.42128056,-0.1710136,0.09296594,-0.46384412,-0.5860864,-0.37274832,-0.29074386,0.20630854,0.036480878,0.55381095,-0.5148449,0.5566873,rec.motorcycles
-0.052288823,0.014209166,0.16659415,-0.1746436,-0.08012059,0.04481635,0.04810645,0.4477092,0.12211137,0.16393447,-0.16087233,-0.12866971,-0.00061019976,-0.024700785,0.07230495,-0.23352878,0.060536362,-0.18731433,-0.15342219,-0.4333829,0.019280067,0.045935586,0.08913232,-0.08110129,0.11625319,0.039986257,-0.09145346,0.058769323,-0.10854192,0.17889777,0.30174106,0.0009348388,0.06032441,0.13020952,-0.13462624,0.16338822,-0.061003536,-0.19885075,0.05556531,-0.07900961,-0.022179378,-0.0509029,-0.053103585,-0.13844089,-0.021448072,-0.08429821,-0.05381964,0.012341465,0.16362093,0.033096947,0.0991223,-0.1668282,0.054348506,0.011258918,-0.2555831,-0.05484933,-0.009592974,-0.07861384,-0.163371,0.046181045,-0.23794879,-0.034446463,-0.06748526,0.08334907,-0.06144085,0.3288215,-0.056038994,0.072279245,-0.13591439,0.15652224,-0.1744049,0.24880591,0.17519371,0.008812388,0.21511227,0.35527873,-0.023131886,0.11696938,-0.026570853,0.011995764,-0.0049911197,-0.04756852,0.15343672,0.12507129,0.042569596,0.029792601,-0.24935724,0.13798057,-0.0083785,0.17558157,0.15225713,0.15715176,0.091585994,0.105431356,0.16763522,0.16356331,-0.06475723,-0.14915274,-0.08216295,0.14945489,talk.politics.mideast
-0.27475864,0.16934426,-0.11743355,-0.2671558,0.10220384,-0.17578587,0.3737443,0.27180302,-0.16312242,-0.12230873,0.100075364,-0.43007657,-0.06758894,-0.17332326,-0.009869245,-0.098265216,-0.02803711,-0.06677925,0.27734745,-0.15138297,-0.0404823,-0.03814146,0.37881,0.22909069,-0.09307169,0.32835805,-0.11182565,-0.025015019,-0.17733668,-0.07138824,0.35898557,0.0066393013,-0.18077615,0.048332598,-0.17204286,0.066749156,-0.18270913,-0.01937003,-0.1928095,0.02153575,0.16290252,0.11371223,-0.15270829,0.1459983,-0.26772526,0.06535643,-0.029690478,0.14540087,0.11582533,-0.34539205,-0.09933717,0.06338155,0.14684704,-0.12509091,-0.32388854,0.051234074,-0.07518229,-0.17981392,-0.08225661,0.16523586,0.15550926,0.10401971,-0.27377158,0.082568236,-0.32238194,0.20177203,0.10438196,-0.010959913,0.024764862,0.17782167,-0.35069272,0.18600146,0.23257864,0.20450927,-0.07147057,-0.051418114,-0.049951017,0.022160703,-0.062281694,0.0041895905,-0.0749747,-0.033547856,0.1122245,0.38853884,0.215294,0.18964007,0.056614283,0.038165495,0.13635916,-0.10277563,0.15990694,0.49632135,-0.16816741,-0.10313717,0.44391,0.023907263,0.1532933,-0.2570643,0.036862615,-0.34435475,comp.sys.ibm.pc.hardware
-0.06167845,0.104965284,0.33210754,-0.25464422,0.016482823,-0.14129916,0.36397123,0.06836408,-0.14429998,0.007907716,-0.069321066,-0.21183556,-0.13986737,0.0006538406,-0.046800748,0.06298929,0.010893043,-0.40423986,-0.045249708,-0.21934168,-0.09714345,-0.011943476,0.28342557,0.13198064,-0.20392968,-0.033707432,-0.098031215,-0.16767903,0.06626083,-0.17508495,0.25470915,-0.1300691,0.16604567,0.15342703,-0.16682489,0.108443536,0.039458662,-0.06002146,-0.22588986,-0.19864936,0.30881172,-0.072163664,-0.07940768,-0.4073278,-0.103183724,-0.11428853,-0.599562,0.09866012,0.2558942,0.15912011,0.037923098,-0.100772,-0.23686436,0.28195554,-0.16271786,0.36159495,0.279536,-0.0947137,-0.7053437,0.17162533,0.10677174,0.170086,0.020549217,-0.12184225,-0.26802298,0.090329535,-0.0983855,-0.13490853,-0.023543794,0.07307892,0.07171591,-0.2278151,-0.08436671,0.041344382,0.042346787,0.10706936,0.1518,-0.0457555,-0.08343941,0.053644087,0.09297766,0.1403283,-0.11873505,0.017511947,-0.26374727,0.066460565,0.07004499,0.28413287,0.4998653,0.28450805,0.21563755,0.08146993,0.10579115,0.29082468,0.059569024,0.27124235,-0.027443653,-0.49673197,0.13968353,0.05354939,comp.windows.x
-0.6091847,-0.19945912,-0.03432974,-0.14757441,-0.15633707,-0.729529,0.75157076,0.09528381,0.6054729,0.20152062,0.13929632,0.367469,-0.74873674,-0.24646592,-0.04810426,-0.16828577,-0.054287404,-0.12282914,-0.28418598,-0.03859675,-0.39089456,-0.14003605,0.28228098,0.043698344,0.3078636,0.09061935,0.22696468,-0.30736575,0.006157665,-0.08713786,0.52596265,0.4327451,-0.4087029,0.27132484,-0.16795427,0.17939095,0.7566038,0.09299143,0.30476305,0.099647164,0.044294287,0.01034682,-0.26526406,-0.099597044,-0.117037274,-0.13019869,0.40069002,-0.0030120153,-0.51952463,0.21903436,0.6589288,-0.053977486,0.21202783,-0.0811479,-0.45135853,0.5011131,-0.33425418,0.23024015,-0.54149693,0.15647252,-0.37500525,-0.07955727,-0.3130111,-0.7994827,0.24165003,0.7028071,0.6495417,0.905199,0.16600361,0.42895398,-0.5989111,0.7693973,0.20704389,-0.22809672,0.2672576,0.5590814,0.30869207,-0.11749522,-1.0898039,-0.70605844,-0.6638633,-0.49062335,0.31755748,-0.27151123,0.8472751,0.06336067,0.29059088,0.10327476,0.00258433,0.34767294,-0.37112623,-0.30409884,-0.66527206,0.2667723,0.7565681,-0.15673128,0.07179499,0.6823979,-0.43178135,-0.19194897,sci.med
-1.9240986,-0.6775779,-0.26425242,0.018083116,1.8037726,-0.08063142,1.2959733,-0.6756057,1.0645672,-0.25755844,0.33574954,-1.7766871,-0.84499264,0.28122234,-1.2262554,0.07707926,-0.32798848,0.5467483,-0.9150002,-0.91637,0.7698181,-1.4583712,0.1740191,-1.3083563,0.4515417,-2.1349874,0.38247734,-0.07130537,-1.3301882,-0.19229339,-0.20812848,-0.73022854,-0.72146493,1.2003816,-0.34930646,-0.48597366,-2.404434,-1.7202448,1.1534677,-0.9790048,0.27064127,0.035164244,-0.44207537,-0.6348629,-0.37877652,0.41790885,-1.1824751,1.6808295,-0.3153398,1.2814442,1.7511599,0.25850126,0.464536,-0.2606099,0.33908537,-0.11448618,-0.18919791,0.2929059,1.0842515,0.06349729,-0.86809087,1.0807785,-0.43248075,-1.1100262,-1.2740887,0.593621,0.01675734,-0.5265837,-0.88789403,0.44854107,0.1450726,0.8096085,0.57893205,-1.1447266,1.9162645,0.8181769,-1.7390758,0.81113,0.60893184,-0.7799579,-1.0536498,-0.6806797,-0.50753605,0.7920714,0.7087644,0.41356683,0.11730187,0.7149407,1.9661578,0.14829572,-0.06940789,0.62601763,-0.9055378,-0.1104745,1.0746728,1.5345339,-0.0045064,0.906586,-0.7342651,-0.0031261523,talk.politics.guns
0.05815935,0.42542538,0.6028286,1.1576878,1.1892838,0.12857535,-0.33358613,-0.81802315,-0.566881,-0.27522138,-0.060575057,0.2930854,0.08114065,-0.18590991,0.75838774,0.9692267,0.8745282,-0.8431353,-1.3964317,-0.13537465,-0.32901502,0.9256009,0.61957884,-0.24231593,-0.99426615,-0.6081182,-0.5197223,-2.2630115,-0.18933381,-1.7107267,0.6336583,-0.3993621,0.9319038,-0.32526076,-0.15864241,-0.54796803,-0.11624566,-0.52866846,-0.16771348,0.78144306,-0.008956769,0.5504791,-0.66598326,0.110030934,0.36666423,-0.2888241,-0.7114553,1.2918359,0.3758954,-0.2211563,0.0843656,-1.5196639,0.043596618,0.54112756,-1.5707024,0.41766036,-0.5631423,-0.03741268,0.9799895,0.9720398,-1.0801958,0.1738474,-1.0558454,-0.46723935,1.0171613,-0.89415514,1.1939217,0.17452243,-0.8105297,-0.1738784,-0.7283136,0.94814867,-0.29716888,0.4751039,0.5270343,1.4767109,-0.26935685,-0.018405447,-0.1533411,-0.5453119,-0.8832207,0.65570253,0.24544746,1.168072,-0.12663974,-0.15139881,1.1679022,0.80251753,-0.75330216,0.914344,0.7653664,-0.08587738,0.68740135,0.8813515,-0.15190957,0.92227995,-0.27123943,0.2932703,0.18962093,0.28327295,rec.sport.baseball
-0.24585418,-0.06943633,-1.127109,0.022375781,-0.12139044,0.6982571,0.30892527,0.01027855,-0.6718569,-0.36840457,-0.6836355,-0.3818546,-0.38092536,-0.19630991,1.0009947,0.25811675,0.029679868,-0.1063045,-0.58397835,-1.2520132,-0.48510355,0.14352515,0.44589132,-0.22797076,-0.35145843,0.8850027,-0.8072436,-0.46202374,-0.78341705,-0.79275495,0.4346805,-0.1812078,0.06937623,0.10618262,-0.17494474,0.75813735,0.49338531,-0.091346644,0.034609936,-0.3898423,-0.12590632,-0.35302722,-0.19721323,-0.5396124,0.19344534,-0.83769614,-0.47371852,0.1205985,0.48963672,0.42561322,0.0021583792,-1.0615748,-0.59846914,0.8173006,-0.377084,-0.5812503,-0.037325487,-0.42803,0.34434634,-0.28070974,-0.035080355,-0.05206896,0.6461379,-0.18871641,-0.7240846,0.2877009,1.3349154,0.031247187,-0.5488241,1.0567837,0.75869745,0.037634756,-0.18048598,-0.15506077,0.9931044,-0.8957563,-0.13164432,-0.64862436,-1.1607419,-0.15946017,1.2102555,-0.2975595,0.51502985,0.34325844,1.2119557,-0.07795995,-0.15560207,0.052899648,1.1441438,0.58413666,0.14490977,-0.20192738,-0.047844265,-0.48147094,0.94892347,0.38937947,0.47832978,-0.5588387,-0.2740497,0.662523,alt.atheism
-0.49770093,0.27716178,0.5432461,-0.4312518,1.5552486,-1.8850628,0.69443864,-0.7347954,-0.0369074,-0.035714902,-0.32677156,-3.1201615,0.097722225,0.91564155,-1.3990582,-0.7929583,-0.17693307,-1.064346,2.1835608,-1.0269706,-0.43649364,0.10898823,-0.4200148,-0.70117396,-0.5039452,0.5699434,1.9627247,-0.59483856,-0.66660637,2.07552,-0.4188727,-0.536806,-1.6985602,0.39484924,0.108088724,0.98563117,-0.86375237,-0.46018386,-0.14153957,-1.4850231,-2.6222177,-0.067451015,0.14530715,0.47038385,-0.16001771,0.4380459,-0.33164376,-1.8154789,-0.0394177,1.0476356,1.9522365,0.39749807,0.776797,-1.6573151,-1.6245904,0.76417685,-0.42398524,0.88375676,-1.0570352,-0.27251047,-1.0279496,-0.5031084,-1.5571489,-0.5669021,-0.36971992,-1.2158576,-0.75844055,-0.15555125,1.3081019,-0.48243406,-0.5048296,2.0812175,1.3094839,-0.6799827,0.8754081,-0.7976859,0.77014965,2.0898225,0.93064654,0.21782795,-0.12843177,0.7713694,-0.5155978,-0.21601416,-0.44665363,0.66424805,0.06541536,0.2656812,-0.26767838,-0.24565338,1.2921922,2.1311774,-0.89935684,-0.62907475,0.9872541,-0.10996602,1.4136599,-0.7047832,-1.1025594,0.6171694,talk.politics.mideast
