vec_0,vec_1,vec_2,vec_3,vec_4,vec_5,vec_6,vec_7,vec_8,vec_9,vec_10,vec_11,vec_12,vec_13,vec_14,vec_15,vec_16,vec_17,vec_18,vec_19,vec_20,vec_21,vec_22,vec_23,vec_24,vec_25,vec_26,vec_27,vec_28,vec_29,vec_30,vec_31,vec_32,vec_33,vec_34,vec_35,vec_36,vec_37,vec_38,vec_39,vec_40,vec_41,vec_42,vec_43,vec_44,vec_45,vec_46,vec_47,vec_48,vec_49,vec_50,vec_51,vec_52,vec_53,vec_54,vec_55,vec_56,vec_57,vec_58,vec_59,vec_60,vec_61,vec_62,vec_63,vec_64,vec_65,vec_66,vec_67,vec_68,vec_69,vec_70,vec_71,vec_72,vec_73,vec_74,vec_75,vec_76,vec_77,vec_78,vec_79,vec_80,vec_81,vec_82,vec_83,vec_84,vec_85,vec_86,vec_87,vec_88,vec_89,vec_90,vec_91,vec_92,vec_93,vec_94,vec_95,vec_96,vec_97,vec_98,vec_99,class_name
-0.061122864,0.0865964,-0.1604326,-0.3085414,-0.16457324,0.25333166,-0.49353296,-0.1483058,-0.49319655,-0.16746384,-0.19016817,-1.1109078,-0.037955396,-0.28079617,-0.17296432,-0.5629744,0.6414176,-0.105790965,-1.1251816,0.066245034,-0.3887538,-0.38713455,-0.48620325,0.37809488,0.07989866,-0.73707193,1.0982786,0.5054612,-0.53846496,-0.008606086,0.33961275,-0.5413158,-0.47189802,-0.08509468,-0.8544211,-0.22167014,-0.34197953,0.29510444,-0.04807199,0.19848745,-0.7091933,0.765917,0.21298707,-0.2918248,0.73934025,-0.29131627,0.011927216,0.79230076,-0.3245435,0.09553831,0.16440596,0.038827173,-0.20849301,-0.04368426,0.1667596,-0.53120613,0.24194287,-0.112519085,-0.15509868,-0.682566,-0.33514977,0.43506902,0.4288099,-0.2701351,0.25073934,0.42516184,0.3067223,-0.37453234,0.076340795,0.07758349,0.39062864,0.4090425,-0.08435371,-0.21276917,-0.16846666,-0.6157308,0.19087994,0.1035612,0.43026063,-0.7996753,0.11663345,-0.45744666,-0.42410526,0.7113214,-0.20769882,-0.41791478,-0.711258,0.49637026,0.34382564,0.5207431,-0.5382936,0.8290654,0.18753839,-0.1653236,0.20755196,-0.023941306,0.2280265,0.37206358,1.233486,-0.2006723,sci.electronics
0.15068716,1.0922276,-0.57813233,0.8966376,0.9570897,0.7456806,-0.27222997,0.1501525,-0.50223315,0.14592871,0.053464655,-0.38546503,0.074538,-0.46815678,-0.16581854,-0.18360816,0.2745427,0.37186348,-0.2535551,-0.70736617,-0.51845604,-0.2974113,-0.15466264,0.449536,0.114216045,0.31519282,0.276273,-0.06291774,-0.6211073,0.21431637,0.22017404,-0.1282343,-0.71609324,-0.76411474,-0.23214018,0.08214722,-0.16450468,-0.07609554,0.10162172,-0.60727257,0.15648915,-0.20981161,-0.13653012,-0.5780783,-0.14839904,0.5412029,0.56543136,0.3235507,0.31120014,0.99667466,-0.3187432,-0.12974058,-0.053095218,0.0058809253,-0.18186809,-1.0832309,0.057554543,-0.50131243,0.31036967,0.7396893,0.5032495,-0.39639258,0.18406995,-0.27314603,0.5224616,0.04268166,1.2945062,-0.015972067,-0.047698934,-0.41156125,-0.101951055,0.49232775,-0.28614548,0.043031707,-0.057772435,-0.18844466,0.27606297,-0.11176858,-0.085335046,-0.23284686,0.2251824,-0.0019393056,-0.36309636,0.6647802,0.34133124,0.06885617,-0.63956106,-0.2416909,1.1046902,-0.4157293,-0.012469023,0.89865065,0.106802955,0.22020596,0.37033573,-0.115739755,0.18477419,-0.0030485909,0.046909794,-0.6801544,soc.religion.christian
0.45105878,0.9467547,-0.38007686,-1.1646242,-0.46656692,-0.7738138,0.47780755,0.06427663,0.09983476,1.3268565,0.66750157,-0.60907376,0.3581314,-0.38399097,0.9027389,-0.21600936,0.6681867,0.36356056,-0.6659765,-0.04391763,0.18820193,-0.80431527,-1.0916972,0.13909602,-0.7248853,0.241349,1.1121526,0.34311548,-1.065423,0.0490978,-0.6961186,-0.18348818,-0.12549578,0.28780612,0.567485,-0.36871532,-0.16306002,1.4736664,-0.0010816718,-1.2334739,-1.3544917,1.0033838,-0.40284872,0.07735817,1.3268803,0.6816738,0.6241953,0.3507823,-0.15657292,1.663925,-0.47668207,0.8949135,-0.73214406,-0.7250345,0.31283492,-0.32965946,-0.27878556,0.46839988,0.8866791,1.5992501,0.13233721,-0.23348719,-0.0059478963,-0.032359686,-0.29803285,0.085933425,0.44905892,-0.24907242,0.036942076,0.40724197,-0.019316318,1.5668126,-0.14457697,1.0862734,-0.8904259,0.09636039,0.7880216,-0.17503606,-1.3083323,-0.43946218,0.22868985,-0.49600393,-0.62977356,1.4413251,0.74172544,-0.9834914,-0.077865735,0.2907893,0.70127225,0.39472893,-0.40210816,1.3285991,0.8477438,0.32951748,0.6833168,0.206143,1.4825015,0.8249618,1.322285,0.25549978,alt.atheism
0.21196274,0.1827415,-0.3303529,0.007761404,0.2903422,0.31838816,-0.033107277,-0.08484481,-0.44639802,0.1261174,-0.07981177,-0.0076761646,0.09548678,-0.11447726,-0.17333677,-0.22269511,0.25309265,0.11117987,-0.64314747,-0.17000489,-0.16189958,-0.069492966,-0.20515622,0.020281915,0.38870758,-0.070487745,0.411346,0.011593786,-0.2095923,0.3356768,0.21661903,-0.22682667,-0.33969456,-0.26723516,-0.4187461,-0.0023532938,-0.13074964,-0.16113515,-0.099007,-0.4103625,-0.17772098,0.14842644,-0.039320257,0.2362115,0.21736039,0.4277969,0.18861358,-0.14467332,0.011406396,-0.062195547,0.13299139,0.038912263,-0.03741606,-0.13356382,-0.09365569,-0.2635216,-0.10563408,-0.16083114,-0.12893693,0.24979138,0.07491226,0.070725136,0.00047022643,0.045755807,-0.025973003,0.25587294,0.26070285,0.344437,-0.28116712,0.16653758,0.07872011,0.22911873,0.05742864,-0.20526212,-0.20553946,0.28731903,0.03856146,0.031602733,-0.12987211,-0.14428827,0.3776359,-0.2069368,-0.46572465,0.09056324,0.04341921,-0.10690066,-0.072795615,-0.31551516,0.3265257,-0.14400075,0.105474666,0.30674496,0.26691368,0.24691254,0.35675123,0.20867613,0.46318725,0.08362623,0.3230463,-0.2953866,sci.crypt
0.31966564,0.22267638,-0.70284575,-0.52510345,0.4336694,0.5512673,0.31851897,0.7578427,-0.38087615,0.7156463,-0.73695374,-0.49303865,0.4911255,0.4290906,0.9620993,-0.2947434,0.81663305,0.28531328,0.33992514,-0.38940805,-0.2968669,0.0063350075,0.041619394,-0.5487764,0.73907584,-0.23176606,1.1977558,-0.076233335,-0.8659876,-0.20448193,0.11760652,-0.08255259,-0.40183508,0.15219128,-0.12969114,-0.59637684,-0.16624011,-0.26942408,-0.08565442,0.11824112,-0.27424538,-0.16936222,0.25611398,-0.2018692,0.3250511,-0.0009111088,0.6373675,0.036108255,-0.3376157,0.26101324,0.15103905,0.19539651,-0.16426653,-0.2603447,0.1709231,-0.23524375,-0.18363772,-0.038946405,0.021728478,0.8406514,0.05593649,0.4824012,0.027461436,0.40658715,0.4042662,0.18953028,0.3544634,0.28319943,-0.79693836,0.023976035,0.20812011,0.9163779,0.43646458,-0.5512719,-0.43239298,0.13438384,0.3867286,0.20585403,-0.3874156,0.077238426,0.46830145,-0.6966872,-0.25311995,0.54875773,-0.52035075,0.0150464,0.45237592,-0.64699936,1.1641306,0.7970185,-0.35101607,0.48312727,0.352948,0.36094242,0.14974912,0.5711509,0.9896228,-0.53956705,0.4896898,-0.3987977,talk.politics.guns
-0.16310254,0.2753434,0.12643568,0.4552198,0.5836205,0.18902966,-0.25092742,-0.30830526,-0.16443466,0.32126486,-0.33180445,0.7240726,0.2791406,0.25606284,0.016568875,-0.38151848,0.2657572,-0.10618259,-0.6938095,-0.3602791,-1.1816236,-0.30865458,-0.22666156,-0.15828763,-0.08731465,-0.60076183,0.40269294,0.2199135,0.2296765,0.40118825,0.60979503,0.094415255,-0.20819113,-0.023336452,-0.08202976,-0.08162418,-0.45478392,0.057709593,0.10873129,-0.13208559,-0.8039116,0.7968405,0.21336605,-0.044934303,-0.041192733,0.5728133,-0.62162644,0.3269605,-0.492597,-0.57520753,-0.6164956,-0.38269165,-0.5807982,-0.19137272,-0.2557788,0.24844213,-0.244148,-0.0035261628,-0.58345294,0.6308817,0.21021445,-0.5418911,-0.13554932,0.04948379,0.11249554,0.52942723,0.013965138,0.5766674,-1.1328056,0.92332304,-0.018337814,0.5003776,0.08068768,-0.0011484135,0.335996,-0.24746265,0.50826055,-0.032974634,0.11577762,0.056528974,0.17366458,-1.4004668,0.084692255,-0.3334865,-0.18009712,0.19175921,0.001135429,-0.50511,0.39551297,0.58439285,0.14981806,0.35822153,0.34737864,0.24986148,0.79318976,0.31748655,0.53704536,0.41679332,0.48628816,0.16010818,rec.sport.hockey
0.2655859,0.2691155,-0.67526454,-0.40724555,0.105151795,-0.018798325,-0.65600866,0.3910031,-0.5588156,-0.70696175,-0.31681848,-0.524158,0.08789803,-0.09315462,0.3770347,-0.09530295,0.37645617,-0.20306516,-0.49303833,0.076278605,0.13082564,0.086704694,0.28464177,0.009050475,0.6580982,0.13732833,0.14188933,0.07119121,-0.056167267,0.13283119,0.10116742,0.38157648,-0.64232343,-0.2692471,-0.6533742,0.730151,-0.38402864,0.73038167,-0.40140533,-0.15730014,-0.14567336,0.29794705,0.21970913,-0.17118119,0.298932,-0.32745796,0.08427368,-0.096791245,0.28443214,0.08034364,0.05803505,-0.27811658,-0.39985234,-0.5439184,-0.6165289,-0.29269713,0.13684665,0.42124587,-0.40804622,0.8652114,-0.10416522,-0.18102585,-0.35998523,0.6803281,0.4752407,0.016549492,0.28642678,-0.07417852,-0.3399355,0.22857648,-0.57503647,0.57279533,-0.47694352,-0.14632224,0.21768053,0.0051478194,-0.33579496,0.20003222,-0.053802144,0.2609574,-0.09346073,-0.541667,-0.09762626,0.5544859,-0.01789248,-0.4344466,-0.40199137,-0.03903202,0.31726283,0.5694495,0.14182681,0.7316494,0.15611704,0.47387022,0.48509464,-0.0106740035,0.35853824,-0.41525158,0.54557025,-0.48649016,rec.motorcycles
1.3606229,-0.6664802,-0.29378822,0.45900062,1.4589368,0.73229176,1.3508695,-0.07621865,-1.7506446,0.7413527,0.8984021,-0.31429246,0.59872997,-0.83383334,-0.21404305,-0.8909329,-0.15001155,-0.953541,-1.059168,-0.5622609,-0.21343933,-0.2235197,-0.4557669,0.6507388,1.7498924,-0.9985043,1.4672635,0.36066377,-0.18091194,-0.87601525,-0.10808814,0.114850156,-0.3498938,0.658028,0.7927679,0.054099225,-1.7695901,-0.40677655,-0.04680517,-1.3599594,0.3361552,0.66599894,-0.06030125,-0.26611888,0.2526973,0.6846013,0.34709087,0.0059783487,-0.13840127,0.23570491,-0.80401343,0.4221635,0.36142424,-0.3907331,-0.2996449,-1.1957016,-0.51645434,-0.201019,0.67285556,-1.0098858,-0.6030172,0.075521976,1.1610425,1.1376975,-0.8353347,0.15571924,0.61341304,1.1747296,-0.73393553,0.44871497,-0.3073964,-0.40349415,-0.36006266,0.014430725,-0.8094694,0.5243011,1.010739,1.3345889,-0.41701296,-0.35127872,0.8938507,-1.2402884,-0.52718216,0.14235422,-0.020780524,-0.1609718,-0.46306148,0.7613833,1.7742975,-0.12742157,-0.3692429,0.3230926,0.20830578,-0.3101932,0.37035462,0.78443766,-0.024665559,0.041196223,1.0450348,-0.95682997,talk.politics.mideast
-0.15466633,0.3583759,-0.5290403,0.10126691,0.17631361,0.27268595,-0.23527847,0.37670374,-0.41675615,0.4384714,-0.30355012,-0.4087224,0.43115067,-0.14402528,0.10146622,-0.33308795,0.31209135,0.14608362,-0.48531935,0.123401284,-0.4891878,-0.35622796,-0.2025073,-0.1811918,0.06589931,-0.1946414,0.49624956,-0.28137004,-0.16897477,0.06453816,0.29931575,-0.45944515,-0.2306366,0.00045235085,-0.12503035,0.106834516,0.031194605,0.045340657,-0.037173167,-0.006028329,-0.39501804,0.11501165,0.032140058,0.24906467,0.29191363,0.18813084,-0.021752354,-0.05209514,0.03530168,-0.19001366,-0.080105826,-0.16480578,-0.3344342,-0.5970684,-0.2163615,-0.44378713,-0.06340743,-0.06895223,-0.63732314,0.13321395,-0.038835287,0.22324567,-0.037889536,0.18497355,-0.14982378,0.25138745,0.33117157,0.6465689,-0.4175249,0.27363163,-0.09399444,0.28240678,0.12436539,-0.043922942,-0.32365778,0.12014551,0.23758319,-0.17801002,-0.031179016,0.112490326,0.36101562,-0.46779203,-0.16087933,0.23112917,0.32706207,-0.07466709,-0.42482173,-0.20967592,0.765735,0.16601084,0.08542111,0.4438524,0.29303393,0.28635037,0.3282133,0.44398534,0.36020797,-0.11924476,0.76231694,-0.49970543,comp.sys.ibm.pc.hardware
0.07964258,-0.047478784,-0.7126282,-1.0205927,0.9849634,0.1744796,0.41557238,2.298361,-0.4872891,-0.46682125,-0.4761355,0.55308044,-0.012016975,-0.81759375,0.37613577,0.37776202,0.3676039,0.777627,0.18485029,-0.34459335,0.29577744,0.25250694,0.074823365,-1.9257903,1.0269365,-0.06338073,0.033796504,-0.8572439,-0.64963895,-0.79555964,-0.097329915,-0.080192044,-0.9101613,0.3553224,0.16744411,0.4178665,-0.9608157,-1.2580625,1.2820756,-0.82273746,-1.0197818,0.39605746,0.3761772,-0.38704327,0.6322019,-0.09637491,0.9329736,-0.83011603,0.63659984,0.31625485,-0.4557083,-0.11903173,0.4050475,-0.03863612,-0.15773694,-0.8400479,0.34715074,-0.5036152,0.23497085,1.7027502,-0.017964061,-0.10443421,0.9483484,0.60927147,-0.11586864,-0.3615039,0.2646824,1.1466558,-0.5038749,0.7605522,-0.53077966,1.0756427,0.57122064,-0.3533579,-0.9477721,1.51986,-0.08457208,-0.6483527,0.1360801,-0.6197137,0.9930518,-0.26125583,-0.104641505,0.30134848,1.0736259,-0.26272836,-1.1544311,-1.4734615,-0.27488783,0.69281775,-1.3468332,1.9915743,0.20739788,-0.10345723,1.4716082,-0.43511268,-0.67221797,-1.0834839,0.31111023,0.30351135,comp.windows.x
