tfidf_vector,class_name
[0.         0.         0.         ... 0.05842454 0.         0.        ],sci.electronics
[0.         0.         0.         ... 0.04901357 0.         0.        ],soc.religion.christian
[0. 0. 0. ... 0. 0. 0.],alt.atheism
[0. 0. 0. ... 0. 0. 0.],sci.crypt
[0. 0. 0. ... 0. 0. 0.],talk.politics.guns
[0. 0. 0. ... 0. 0. 0.],rec.sport.hockey
[0. 0. 0. ... 0. 0. 0.],rec.motorcycles
[0.         0.         0.         ... 0.01260198 0.         0.        ],talk.politics.mideast
[0. 0. 0. ... 0. 0. 0.],comp.sys.ibm.pc.hardware
[0. 0. 0. ... 0. 0. 0.],comp.windows.x
[0.23452868 0.         0.         ... 0.         0.         0.        ],sci.med
[0.         0.         0.         ... 0.03306951 0.         0.        ],talk.politics.guns
[0. 0. 0. ... 0. 0. 0.],rec.sport.baseball
[0.         0.02725457 0.         ... 0.         0.         0.        ],alt.atheism
[0.         0.         0.         ... 0.04730458 0.         0.        ],talk.politics.mideast
[0.         0.         0.10393581 ... 0.         0.         0.        ],comp.windows.x
[0.         0.         0.         ... 0.03419303 0.         0.        ],rec.sport.hockey
[0.         0.09188293 0.         ... 0.05781876 0.         0.        ],sci.electronics
[0. 0. 0. ... 0. 0. 0.],comp.sys.ibm.pc.hardware
[0. 0. 0. ... 0. 0. 0.],comp.sys.mac.hardware
[0. 0. 0. ... 0. 0. 0.],sci.space
[0. 0. 0. ... 0. 0. 0.],comp.os.ms-windows.misc
[0.        0.        0.        ... 0.1635375 0.        0.       ],rec.sport.baseball
[0. 0. 0. ... 0. 0. 0.],comp.os.ms-windows.misc
[0.         0.         0.         ... 0.06765565 0.         0.        ],sci.med
[0. 0. 0. ... 0. 0. 0.],sci.space
[0. 0. 0. ... 0. 0. 0.],sci.space
[0. 0. 0. ... 0. 0. 0.],sci.space
[0.         0.         0.         ... 0.08801491 0.         0.        ],soc.religion.christian
[0.         0.         0.         ... 0.06442733 0.         0.        ],sci.crypt
[0. 0. 0. ... 0. 0. 0.],rec.sport.baseball
[0. 0. 0. ... 0. 0. 0.],comp.windows.x
[0. 0. 0. ... 0. 0. 0.],talk.religion.misc
[0. 0. 0. ... 0. 0. 0.],talk.politics.mideast
[0. 0. 0. ... 0. 0. 0.],talk.politics.guns
[0. 0. 0. ... 0. 0. 0.],rec.autos
[0. 0. 0. ... 0. 0. 0.],talk.politics.mideast
[0.         0.         0.         ... 0.02525397 0.         0.        ],comp.sys.ibm.pc.hardware
[0.         0.         0.         ... 0.08742806 0.         0.        ],comp.graphics
[0.         0.         0.         ... 0.01606613 0.         0.        ],sci.crypt
[0.         0.         0.         ... 0.08538104 0.         0.        ],soc.religion.christian
[0. 0. 0. ... 0. 0. 0.],talk.politics.guns
[0. 0. 0. ... 0. 0. 0.],talk.politics.mideast
[0. 0. 0. ... 0. 0. 0.],comp.os.ms-windows.misc
[0. 0. 0. ... 0. 0. 0.],comp.os.ms-windows.misc
[0.         0.         0.         ... 0.08331821 0.         0.        ],sci.space
[0. 0. 0. ... 0. 0. 0.],sci.space
[0.         0.         0.         ... 0.05418104 0.         0.        ],talk.politics.guns
[0. 0. 0. ... 0. 0. 0.],rec.motorcycles
[0. 0. 0. ... 0. 0. 0.],comp.sys.mac.hardware
[0. 0. 0. ... 0. 0. 0.],misc.forsale
[0. 0. 0. ... 0. 0. 0.],comp.sys.mac.hardware
[0. 0. 0. ... 0. 0. 0.],talk.politics.mideast
[0. 0. 0. ... 0. 0. 0.],sci.space
[0. 0. 0. ... 0. 0. 0.],sci.space
[0. 0. 0. ... 0. 0. 0.],sci.electronics
[0. 0. 0. ... 0. 0. 0.],rec.sport.hockey
[0. 0. 0. ... 0. 0. 0.],sci.med
[0. 0. 0. ... 0. 0. 0.],rec.motorcycles
[0.0312332  0.         0.12932536 ... 0.         0.         0.        ],sci.space
[0. 0. 0. ... 0. 0. 0.],sci.med
[0. 0. 0. ... 0. 0. 0.],sci.electronics
[0. 0. 0. ... 0. 0. 0.],sci.electronics
[0. 0. 0. ... 0. 0. 0.],talk.politics.mideast
[0. 0. 0. ... 0. 0. 0.],comp.os.ms-windows.misc
[0.        0.        0.        ... 0.0312699 0.        0.       ],sci.crypt
[0. 0. 0. ... 0. 0. 0.],rec.sport.baseball
[0. 0. 0. ... 0. 0. 0.],sci.crypt
[0.         0.03680568 0.         ... 0.         0.07719269 0.        ],sci.med
[0. 0. 0. ... 0. 0. 0.],sci.electronics
[0.         0.03891632 0.         ... 0.02857015 0.         0.        ],rec.autos
[0.         0.         0.         ... 0.15265413 0.         0.        ],talk.politics.mideast
[0. 0. 0. ... 0. 0. 0.],rec.motorcycles
[0.         0.10569344 0.         ... 0.05542436 0.         0.        ],rec.autos
[0. 0. 0. ... 0. 0. 0.],rec.sport.baseball
[0. 0. 0. ... 0. 0. 0.],sci.med
[0.         0.         0.         ... 0.03915787 0.         0.        ],soc.religion.christian
[0.         0.08121834 0.         ... 0.         0.         0.        ],talk.religion.misc
[0. 0. 0. ... 0. 0. 0.],sci.crypt
[0. 0. 0. ... 0. 0. 0.],sci.electronics
[0.         0.         0.         ... 0.01564532 0.         0.        ],sci.electronics
[0.         0.         0.         ... 0.06586867 0.         0.        ],talk.politics.guns
[0. 0. 0. ... 0. 0. 0.],comp.sys.mac.hardware
[0. 0. 0. ... 0. 0. 0.],talk.politics.misc
[0. 0. 0. ... 0. 0. 0.],sci.space
[0. 0. 0. ... 0. 0. 0.],soc.religion.christian
[0. 0. 0. ... 0. 0. 0.],rec.autos
[0. 0. 0. ... 0. 0. 0.],comp.sys.ibm.pc.hardware
[0.         0.         0.         ... 0.04985184 0.         0.        ],comp.graphics
[0. 0. 0. ... 0. 0. 0.],comp.sys.ibm.pc.hardware
[0.         0.         0.         ... 0.07061448 0.         0.        ],talk.religion.misc
[0.         0.         0.         ... 0.02955403 0.         0.        ],soc.religion.christian
[0. 0. 0. ... 0. 0. 0.],comp.sys.ibm.pc.hardware
[0. 0. 0. ... 0. 0. 0.],misc.forsale
[0.         0.         0.         ... 0.16477599 0.         0.        ],sci.med
[0. 0. 0. ... 0. 0. 0.],soc.religion.christian
[0. 0. 0. ... 0. 0. 0.],comp.sys.mac.hardware
[0.        0.        0.        ... 0.0604893 0.        0.       ],sci.med
[0. 0. 0. ... 0. 0. 0.],comp.windows.x
[0. 0. 0. ... 0. 0. 0.],rec.autos
[0.         0.         0.07620886 ... 0.         0.         0.        ],sci.space
[0.         0.         0.         ... 0.14409607 0.         0.        ],talk.politics.guns
[0.         0.         0.         ... 0.03819097 0.         0.        ],rec.autos
[0. 0. 0. ... 0. 0. 0.],soc.religion.christian
[0. 0. 0. ... 0. 0. 0.],comp.sys.mac.hardware
[0.         0.         0.         ... 0.02454427 0.         0.        ],talk.politics.guns
[0. 0. 0. ... 0. 0. 0.],misc.forsale
[0.         0.         0.         ... 0.         0.08048017 0.        ],rec.autos
[0. 0. 0. ... 0. 0. 0.],misc.forsale
[0.12512646 0.         0.         ... 0.         0.         0.        ],alt.atheism
[0. 0. 0. ... 0. 0. 0.],talk.politics.mideast
[0. 0. 0. ... 0. 0. 0.],comp.graphics
[0. 0. 0. ... 0. 0. 0.],soc.religion.christian
[0. 0. 0. ... 0. 0. 0.],comp.os.ms-windows.misc
[0. 0. 0. ... 0. 0. 0.],talk.politics.misc
[0.         0.         0.         ... 0.04226127 0.         0.        ],sci.crypt
[0. 0. 0. ... 0. 0. 0.],sci.electronics
[0. 0. 0. ... 0. 0. 0.],comp.os.ms-windows.misc
[0. 0. 0. ... 0. 0. 0.],misc.forsale
[0. 0. 0. ... 0. 0. 0.],sci.electronics
[0. 0. 0. ... 0. 0. 0.],talk.religion.misc
[0. 0. 0. ... 0. 0. 0.],misc.forsale
[0. 0. 0. ... 0. 0. 0.],talk.politics.mideast
[0. 0. 0. ... 0. 0. 0.],comp.sys.mac.hardware
[0.         0.         0.         ... 0.28781558 0.0959272  0.        ],talk.politics.mideast
[0. 0. 0. ... 0. 0. 0.],talk.politics.misc
[0. 0. 0. ... 0. 0. 0.],comp.sys.mac.hardware
[0. 0. 0. ... 0. 0. 0.],sci.crypt
[0. 0. 0. ... 0. 0. 0.],comp.sys.mac.hardware
[0.         0.         0.         ... 0.02796096 0.         0.        ],soc.religion.christian
[0. 0. 0. ... 0. 0. 0.],sci.electronics
[0. 0. 0. ... 0. 0. 0.],talk.politics.guns
[0. 0. 0. ... 0. 0. 0.],comp.sys.ibm.pc.hardware
[0.         0.02833604 0.         ... 0.         0.         0.        ],talk.politics.mideast
[0. 0. 0. ... 0. 0. 0.],sci.space
[0. 0. 0. ... 0. 0. 0.],talk.politics.guns
[0.         0.         0.         ... 0.02673055 0.         0.        ],comp.graphics
[0. 0. 0. ... 0. 0. 0.],comp.sys.ibm.pc.hardware
[0. 0. 0. ... 0. 0. 0.],sci.space
[0.         0.         0.         ... 0.11801904 0.         0.        ],talk.politics.mideast
[0.09357892 0.         0.         ... 0.15066098 0.         0.        ],talk.religion.misc
[0.         0.28219504 0.         ... 0.         0.         0.        ],misc.forsale
[0. 0. 0. ... 0. 0. 0.],sci.crypt
[0.09318845 0.         0.         ... 0.         0.         0.        ],rec.motorcycles
[0. 0. 0. ... 0. 0. 0.],sci.med
[0.         0.         0.         ... 0.05158664 0.         0.        ],soc.religion.christian
[0. 0. 0. ... 0. 0. 0.],comp.graphics
[0.         0.         0.         ... 0.08491052 0.         0.        ],rec.sport.hockey
[0. 0. 0. ... 0. 0. 0.],soc.religion.christian
[0. 0. 0. ... 0. 0. 0.],comp.os.ms-windows.misc
[0. 0. 0. ... 0. 0. 0.],sci.crypt
[0. 0. 0. ... 0. 0. 0.],sci.med
[0.         0.         0.         ... 0.06200662 0.         0.        ],sci.electronics
[0.         0.         0.02195639 ... 0.         0.         0.        ],talk.politics.misc
[0.         0.         0.         ... 0.04018234 0.         0.        ],talk.politics.misc
[0. 0. 0. ... 0. 0. 0.],talk.politics.misc
[0.         0.         0.         ... 0.02900238 0.         0.        ],rec.sport.hockey
[0.        0.        0.        ... 0.0491481 0.        0.       ],alt.atheism
[0.         0.         0.         ... 0.03546394 0.         0.        ],sci.electronics
[0.         0.         0.         ... 0.05420236 0.         0.        ],alt.atheism
[0. 0. 0. ... 0. 0. 0.],sci.electronics
[0.         0.15198675 0.         ... 0.         0.0796906  0.        ],rec.sport.baseball
[0. 0. 0. ... 0. 0. 0.],alt.atheism
[0.        0.        0.0566247 ... 0.        0.        0.       ],sci.crypt
[0. 0. 0. ... 0. 0. 0.],rec.sport.hockey
[0. 0. 0. ... 0. 0. 0.],sci.space
[0. 0. 0. ... 0. 0. 0.],talk.religion.misc
[0. 0. 0. ... 0. 0. 0.],sci.electronics
[0. 0. 0. ... 0. 0. 0.],sci.electronics
[0. 0. 0. ... 0. 0. 0.],soc.religion.christian
[0.         0.         0.         ... 0.05761488 0.         0.        ],rec.sport.hockey
[0. 0. 0. ... 0. 0. 0.],rec.motorcycles
[0.         0.         0.         ... 0.11765142 0.         0.        ],talk.politics.misc
[0. 0. 0. ... 0. 0. 0.],comp.windows.x
[0. 0. 0. ... 0. 0. 0.],talk.politics.guns
[0. 0. 0. ... 0. 0. 0.],alt.atheism
[0.         0.         0.         ... 0.11955348 0.         0.        ],sci.electronics
[0.         0.         0.         ... 0.04119128 0.08237283 0.        ],talk.politics.misc
